timestamp,temperature,humidity,light_intensity,co2_level,soil_moisture,air_pressure,wind_speed
2024-01-01 00:00:00,15.0,79.46,238.0,449.0,56.15,1014.75,0.2
2024-01-01 01:00:00,15.0,80.61,217.0,457.0,52.24,1013.65,0.17
2024-01-01 02:00:00,15.0,79.79,125.0,453.0,47.86,1016.39,0.04
2024-01-01 03:00:00,15.0,80.83,209.0,462.0,47.03,1020.25,0.24
2024-01-01 04:00:00,15.17,71.08,160.0,453.0,47.05,1017.17,0.9
2024-01-01 05:00:00,15.82,81.11,234.0,467.0,44.19,1014.82,0.51
2024-01-01 06:00:00,17.49,76.05,0.0,407.0,46.33,1015.19,0.53
2024-01-01 07:00:00,19.39,73.08,13620.0,389.0,43.45,1017.64,0.77
2024-01-01 08:00:00,20.56,75.8,19728.0,379.0,56.42,1016.91,1.0
2024-01-01 09:00:00,23.31,71.03,29045.0,351.0,53.3,1014.53,0.77
2024-01-01 10:00:00,22.49,64.88,29695.0,314.0,47.33,1017.09,1.45
2024-01-01 11:00:00,22.03,72.11,31376.0,360.0,45.86,1013.19,1.39
2024-01-01 12:00:00,22.94,73.03,38485.0,315.0,51.23,1013.83,1.64
2024-01-01 13:00:00,21.88,77.11,34475.0,345.0,44.28,1007.65,1.6
2024-01-01 14:00:00,22.13,75.51,29957.0,363.0,42.18,1011.99,1.98
2024-01-01 15:00:00,21.21,76.4,26683.0,376.0,39.04,1012.46,1.61
2024-01-01 16:00:00,20.78,75.74,21691.0,389.0,56.44,1009.52,1.37
2024-01-01 17:00:00,18.63,74.63,12868.0,379.0,52.37,1007.71,0.42
2024-01-01 18:00:00,16.74,76.05,1479.0,371.0,50.23,1004.7,0.11
2024-01-01 19:00:00,16.41,79.72,124.0,467.0,45.01,1010.52,1.22
2024-01-01 20:00:00,16.31,80.69,133.0,459.0,42.74,1008.72,0.88
2024-01-01 21:00:00,15.09,74.85,246.0,481.0,45.19,1009.44,0.4
2024-01-01 22:00:00,15.0,79.3,136.0,500.0,41.16,1012.33,0.59
2024-01-01 23:00:00,15.0,77.11,158.0,453.0,38.15,1017.25,0.54
2024-01-02 00:00:00,15.0,75.42,206.0,477.0,52.7,1014.74,0.31
2024-01-02 01:00:00,15.0,78.84,114.0,475.0,51.53,1011.86,0.48
2024-01-02 02:00:00,15.0,74.45,208.0,479.0,50.64,1019.4,0.03
2024-01-02 03:00:00,15.0,80.22,232.0,460.0,51.03,1015.53,0.7
2024-01-02 04:00:00,16.68,76.8,157.0,421.0,47.6,1012.9,1.18
2024-01-02 05:00:00,17.93,84.79,201.0,456.0,43.91,1017.54,0.39
2024-01-02 06:00:00,18.16,78.87,854.0,384.0,37.96,1016.36,0.33
2024-01-02 07:00:00,18.88,75.55,10686.0,386.0,39.82,1017.47,0.55
2024-01-02 08:00:00,21.11,73.73,19387.0,330.0,54.66,1019.16,0.21
2024-01-02 09:00:00,20.4,73.02,28702.0,372.0,54.42,1016.52,0.55
2024-01-02 10:00:00,21.71,72.07,28996.0,364.0,49.77,1012.83,2.23
2024-01-02 11:00:00,23.36,66.2,34947.0,350.0,48.83,1014.87,1.55
2024-01-02 12:00:00,23.89,72.88,34563.0,332.0,47.24,1009.77,1.57
2024-01-02 13:00:00,23.51,73.35,35949.0,350.0,48.52,1008.02,1.97
2024-01-02 14:00:00,23.04,73.31,33642.0,329.0,47.68,1007.3,2.12
2024-01-02 15:00:00,20.63,68.16,27195.0,342.0,44.18,1006.91,1.33
2024-01-02 16:00:00,20.48,76.5,20418.0,325.0,57.48,1006.24,1.5
2024-01-02 17:00:00,19.79,81.92,10187.0,406.0,51.05,1009.0,0.14
2024-01-02 18:00:00,18.01,72.97,205.0,436.0,48.62,1007.77,0.42
2024-01-02 19:00:00,16.71,76.42,111.0,475.0,47.97,1004.18,0.66
2024-01-02 20:00:00,15.24,78.74,70.0,476.0,45.05,1007.42,0.39
2024-01-02 21:00:00,15.0,84.8,92.0,464.0,46.71,1006.51,0.55
2024-01-02 22:00:00,15.0,79.49,243.0,476.0,44.88,1010.3,0.0
2024-01-02 23:00:00,15.3,78.46,296.0,473.0,40.16,1011.45,0.68
2024-01-03 00:00:00,15.0,79.5,125.0,458.0,54.28,1015.94,0.33
2024-01-03 01:00:00,15.0,78.73,151.0,488.0,52.46,1015.2,0.48
2024-01-03 02:00:00,15.0,80.07,164.0,471.0,53.25,1014.59,0.8
2024-01-03 03:00:00,15.0,77.18,243.0,483.0,49.9,1019.74,0.63
2024-01-03 04:00:00,15.7,78.24,199.0,489.0,44.41,1015.39,0.42
2024-01-03 05:00:00,17.61,74.07,251.0,462.0,43.23,1015.03,0.5
2024-01-03 06:00:00,18.72,77.76,0.0,385.0,40.47,1019.59,0.2
2024-01-03 07:00:00,19.78,75.25,12535.0,390.0,46.39,1017.44,0.55
2024-01-03 08:00:00,19.79,66.44,21910.0,353.0,53.68,1021.41,0.63
2024-01-03 09:00:00,21.03,77.32,25077.0,380.0,53.0,1017.72,0.5
2024-01-03 10:00:00,22.47,73.14,33682.0,356.0,48.9,1019.14,1.61
2024-01-03 11:00:00,21.84,71.08,32990.0,342.0,45.12,1015.24,1.38
2024-01-03 12:00:00,22.31,73.34,37384.0,369.0,46.73,1013.71,1.5
2024-01-03 13:00:00,22.61,73.05,28174.0,393.0,43.3,1009.31,1.69
2024-01-03 14:00:00,22.95,74.96,31242.0,375.0,40.83,1013.82,2.47
2024-01-03 15:00:00,21.93,75.97,25725.0,357.0,45.03,1008.2,1.92
2024-01-03 16:00:00,20.63,75.23,18522.0,362.0,51.68,1005.82,0.92
2024-01-03 17:00:00,17.4,77.93,13479.0,386.0,54.35,1007.74,0.0
2024-01-03 18:00:00,19.36,73.44,544.0,384.0,52.14,1009.83,0.3
2024-01-03 19:00:00,16.54,82.64,156.0,419.0,47.17,1007.39,0.34
2024-01-03 20:00:00,15.0,82.49,153.0,476.0,46.3,1009.92,0.8
2024-01-03 21:00:00,15.0,80.25,333.0,502.0,44.98,1008.31,0.61
2024-01-03 22:00:00,15.0,71.5,161.0,508.0,44.08,1008.28,0.53
2024-01-03 23:00:00,15.0,77.47,243.0,452.0,43.73,1012.1,0.77
2024-01-04 00:00:00,15.0,80.87,173.0,465.0,54.91,1012.51,0.12
2024-01-04 01:00:00,15.0,79.04,300.0,493.0,52.55,1012.97,0.62
2024-01-04 02:00:00,15.0,80.71,267.0,457.0,48.09,1017.79,0.13
2024-01-04 03:00:00,15.28,83.15,164.0,479.0,42.02,1016.85,0.16
2024-01-04 04:00:00,15.0,82.1,218.0,495.0,44.92,1017.95,0.51
2024-01-04 05:00:00,18.62,77.41,100.0,448.0,41.53,1021.28,0.53
2024-01-04 06:00:00,16.98,71.41,0.0,387.0,43.84,1017.75,0.16
2024-01-04 07:00:00,19.35,68.61,10402.0,390.0,44.5,1017.02,0.59
2024-01-04 08:00:00,21.52,75.11,15763.0,396.0,54.7,1020.72,0.67
2024-01-04 09:00:00,22.29,74.25,28618.0,315.0,53.51,1020.86,0.82
2024-01-04 10:00:00,21.32,74.04,29274.0,346.0,49.3,1015.86,1.72
2024-01-04 11:00:00,24.94,71.23,34515.0,303.0,46.17,1012.07,1.99
2024-01-04 12:00:00,24.14,72.35,34335.0,338.0,47.95,1013.54,1.5
2024-01-04 13:00:00,23.35,71.43,32530.0,341.0,44.45,1015.48,1.06
2024-01-04 14:00:00,23.29,68.94,24878.0,368.0,41.15,1007.96,2.07
2024-01-04 15:00:00,21.17,74.53,27139.0,386.0,40.57,1007.98,1.93
2024-01-04 16:00:00,20.35,77.01,14780.0,368.0,55.43,1007.28,1.98
2024-01-04 17:00:00,19.1,73.29,12811.0,357.0,51.32,1012.38,0.44
2024-01-04 18:00:00,18.91,73.9,342.0,379.0,52.26,1009.22,0.39
2024-01-04 19:00:00,15.58,79.04,169.0,463.0,52.21,1006.06,0.37
2024-01-04 20:00:00,15.0,74.85,211.0,443.0,45.1,1009.86,0.19
2024-01-04 21:00:00,15.37,81.01,204.0,483.0,43.73,1009.42,0.3
2024-01-04 22:00:00,15.0,82.09,218.0,482.0,40.33,1008.86,0.58
2024-01-04 23:00:00,15.0,81.94,189.0,450.0,38.31,1011.29,0.64
2024-01-05 00:00:00,15.0,73.79,214.0,503.0,49.57,1013.21,0.53
2024-01-05 01:00:00,15.0,74.94,144.0,469.0,48.8,1018.28,0.33
2024-01-05 02:00:00,15.0,81.5,242.0,447.0,54.67,1016.35,0.35
