timestamp,temperature,humidity,light_intensity,co2_level,soil_moisture,air_pressure,wind_speed
2024-01-01 06:00:00,20.1,72.5,500,380,48.2,1012.1,0.3
2024-01-01 07:00:00,21.2,70.8,2000,390,47.8,1012.3,0.5
2024-01-01 08:00:00,22.5,68.2,8000,410,47.1,1012.5,0.8
2024-01-01 09:00:00,24.1,65.5,15000,440,46.3,1012.8,1.2
2024-01-01 10:00:00,25.8,62.8,22000,480,45.5,1013.1,1.6
2024-01-01 11:00:00,27.2,60.1,28000,520,44.7,1013.4,2.0
2024-01-01 12:00:00,28.5,57.4,35000,560,43.9,1013.7,2.4
2024-01-01 13:00:00,29.1,55.7,38000,580,43.1,1013.9,2.6
2024-01-01 14:00:00,29.3,54.9,40000,590,42.8,1014.1,2.8
2024-01-01 15:00:00,28.9,56.2,37000,570,43.2,1013.8,2.5
2024-01-01 16:00:00,28.1,58.5,32000,540,43.8,1013.5,2.2
2024-01-01 17:00:00,27.0,61.2,25000,510,44.5,1013.2,1.8
2024-01-01 18:00:00,25.5,64.1,18000,480,45.2,1012.9,1.4
2024-01-01 19:00:00,24.2,66.8,12000,450,45.9,1012.6,1.0
2024-01-01 20:00:00,23.1,69.2,6000,420,46.6,1012.3,0.7
2024-01-01 21:00:00,22.3,71.1,3000,400,47.2,1012.1,0.4
2024-01-01 22:00:00,21.8,72.3,1000,385,47.6,1011.9,0.2
2024-01-01 23:00:00,21.4,73.1,200,375,47.9,1011.8,0.1
2024-01-02 00:00:00,21.1,73.5,50,370,48.1,1011.7,0.0
2024-01-02 01:00:00,20.9,73.8,25,368,48.3,1011.6,0.0
2024-01-02 02:00:00,20.7,74.0,10,366,48.4,1011.5,0.0
2024-01-02 03:00:00,20.6,74.1,5,365,48.5,1011.4,0.0
2024-01-02 04:00:00,20.5,74.2,2,364,48.6,1011.3,0.0
2024-01-02 05:00:00,20.4,74.3,1,363,48.7,1011.2,0.0
2024-01-02 06:00:00,20.3,74.0,100,365,48.5,1011.4,0.1
2024-01-02 07:00:00,21.0,72.8,1500,385,48.0,1011.8,0.4
2024-01-02 08:00:00,22.8,69.5,7500,415,47.2,1012.2,0.9
2024-01-02 09:00:00,24.5,66.2,14500,445,46.4,1012.6,1.3
2024-01-02 10:00:00,26.1,63.1,21500,485,45.6,1013.0,1.7
2024-01-02 11:00:00,27.5,60.4,27500,525,44.8,1013.3,2.1
2024-01-02 12:00:00,28.8,57.8,34500,565,44.0,1013.6,2.5
2024-01-02 13:00:00,29.4,56.1,37500,585,43.3,1013.8,2.7
2024-01-02 14:00:00,29.6,55.3,39500,595,43.0,1014.0,2.9
2024-01-02 15:00:00,29.2,56.8,36500,575,43.4,1013.7,2.6
2024-01-02 16:00:00,28.4,59.1,31500,545,44.0,1013.4,2.3
2024-01-02 17:00:00,27.3,61.8,24500,515,44.7,1013.1,1.9
2024-01-02 18:00:00,25.8,64.7,17500,485,45.4,1012.8,1.5
2024-01-02 19:00:00,24.5,67.4,11500,455,46.1,1012.5,1.1
2024-01-02 20:00:00,23.4,69.8,5500,425,46.8,1012.2,0.8
2024-01-02 21:00:00,22.6,71.7,2500,405,47.4,1012.0,0.5
2024-01-02 22:00:00,22.1,72.9,800,390,47.8,1011.8,0.3
2024-01-02 23:00:00,21.7,73.7,150,380,48.0,1011.7,0.1
2024-01-03 00:00:00,21.4,74.1,40,375,48.2,1011.6,0.0
